"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","FF",2024-07-28,95.1,-2.04,5.23,"Zuber, Tyler",642851,676604,"strikeout","foul_tip",NA,NA,NA,NA,11,"Austin Wynns strikes out on a foul tip.","R","R","R","TB","CIN","S",2,"",3,2,2024,-0.57,1.52,-0.63,3.68,NA,NA,596103,2,7,"Top",NA,NA,NA,NA,NA,NA,4.98391827311064,-138.413087462858,-1.76957543644626,-8.4729661392223,34.3313635793693,-12.5984188772535,3.51,1.61,NA,NA,NA,94.8,2480,6.3,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.16,NA,0,0,1,0,0,NA,49,7,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",215,0.026,-0.319,64.4,5.6,NA,0.319,NA,-1,1,0.328,0.672,29,33,29,34,1,2,6,7,NA,NA,1.02,0.57,0.57,40.8
"2","FF",2024-07-28,94.8,-2.07,5.11,"Zuber, Tyler",642851,676604,"","foul",NA,NA,NA,NA,2,"Austin Wynns strikes out on a foul tip.","R","R","R","TB","CIN","S",NA,"",3,2,2024,-0.7,1.53,-0.14,3.16,NA,NA,596103,2,7,"Top",NA,NA,NA,NA,NA,NA,6.61103812181691,-137.843932091309,-2.80887261758691,-10.5027871743165,32.4918725090239,-12.3392269363151,3.51,1.61,201,73,52,94.4,2437,6.2,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.29,NA,NA,NA,NA,NA,NA,NA,49,6,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",221,0,0,65.6,6.1,NA,0,88,-1,1,0.328,0.672,29,33,29,34,1,2,6,7,NA,NA,1.03,0.7,0.7,37.4
"3","FF",2024-07-28,95.5,-2.18,5.04,"Zuber, Tyler",642851,676604,"","foul",NA,NA,NA,NA,5,"Austin Wynns strikes out on a foul tip.","R","R","R","TB","CIN","S",NA,"",3,1,2024,-0.77,1.37,0.16,2.31,NA,NA,596103,2,7,"Top",NA,NA,NA,NA,NA,NA,7.85758968625381,-138.691780215937,-4.56472945522112,-11.7425128834195,34.2010857568536,-13.7074227742514,3.51,1.61,195,70.4,46,95,2271,6.3,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.15,NA,NA,NA,NA,NA,NA,NA,49,5,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",221,0,-0.065,71.1,7.5,NA,0.065,88,-1,1,0.328,0.672,29,33,29,34,1,2,6,7,NA,NA,1.16,0.77,0.77,32.2
"4","FF",2024-07-28,95.2,-2.09,5.06,"Zuber, Tyler",642851,676604,"","ball",NA,NA,NA,NA,14,"Austin Wynns strikes out on a foul tip.","R","R","R","TB","CIN","B",NA,"",2,1,2024,-0.83,1.42,1.08,2.3,NA,NA,596103,2,7,"Top",NA,NA,NA,NA,NA,NA,10.1697327153721,-138.1020616897,-4.70222740004922,-13.093514009805,33.9750664856514,-13.1687067930461,3.5,1.63,NA,NA,NA,94.5,2324,6.3,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.19,NA,NA,NA,NA,NA,NA,NA,49,4,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",222,0,0.078,NA,NA,NA,-0.078,NA,-1,1,0.328,0.672,29,33,29,34,1,2,6,7,NA,NA,1.13,0.83,0.83,34.5
"5","ST",2024-07-28,85.8,-2.13,5.01,"Zuber, Tyler",642851,676604,"","ball",NA,NA,NA,NA,14,"Austin Wynns strikes out on a foul tip.","R","R","R","TB","CIN","B",NA,"",1,1,2024,1.03,0.58,1.43,1.16,NA,NA,596103,2,7,"Top",NA,NA,NA,NA,NA,NA,6.3268397712831,-124.669355843145,-3.88288504083899,9.1005445522924,29.3430587763729,-25.5108477300755,3.51,1.56,NA,NA,NA,85.1,2707,6.3,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.2,NA,NA,NA,NA,NA,NA,NA,49,3,"Sweeper",0,1,1,0,1,0,1,0,"Standard","Standard",85,0,0.05,NA,NA,NA,-0.05,NA,-1,1,0.328,0.672,29,33,29,34,1,2,6,7,NA,NA,2.57,-1.03,-1.03,29.8
"6","ST",2024-07-28,85.3,-2.1,5.02,"Zuber, Tyler",642851,676604,"","ball",NA,NA,NA,NA,14,"Austin Wynns strikes out on a foul tip.","R","R","R","TB","CIN","B",NA,"",0,1,2024,1.28,0.9,1.28,2.34,NA,NA,596103,2,7,"Top",NA,NA,NA,NA,NA,NA,5.35435226030775,-124.03540026066,-1.72070747319406,11.9492088005138,27.6467103988834,-22.8638302439169,3.54,1.56,NA,NA,NA,84.8,2763,6.3,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.24,NA,NA,NA,NA,NA,NA,NA,49,2,"Sweeper",0,1,1,0,1,0,1,0,"Infield shade","Standard",86,0,0.032,NA,NA,NA,-0.032,NA,-1,1,0.328,0.672,29,33,29,34,1,2,6,7,NA,NA,2.27,-1.28,-1.28,32.8
"7","FF",2024-07-28,94.3,-2.13,5.11,"Zuber, Tyler",642851,676604,"","foul",NA,NA,NA,NA,2,"Austin Wynns strikes out on a foul tip.","R","R","R","TB","CIN","S",NA,"",0,0,2024,-0.71,1.41,-0.03,3.11,NA,NA,596103,2,7,"Top",NA,NA,NA,NA,NA,NA,7.04263085569431,-137.070287491579,-2.52266883687205,-10.688565217028,35.4061927314743,-14.2647001347197,3.51,1.61,179,76.5,17,93.5,2400,6.3,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.22,NA,NA,NA,NA,NA,NA,NA,49,1,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",219,0,-0.047,66.5,5.6,NA,0.047,88,-1,1,0.328,0.672,29,33,29,34,1,2,6,7,NA,NA,1.2,0.71,0.71,32.1
"8","FF",2024-07-28,95.6,-1.86,5.18,"Zuber, Tyler",596103,676604,"walk","ball",NA,NA,NA,NA,14,"Austin Slater walks.","R","R","R","TB","CIN","B",NA,"",3,2,2024,-0.6,1.51,0.91,2.19,NA,NA,NA,2,7,"Top",NA,NA,NA,NA,NA,NA,8.65515651267249,-138.791101678506,-5.53073228016062,-9.99785603242025,36.6186654776418,-11.6020578423715,3.28,1.62,NA,NA,NA,94.7,2450,6.3,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.22,NA,0.689131,0.7,1,0,0,NA,48,6,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",216,-0.014,0.267,NA,NA,NA,-0.267,NA,-1,1,0.342,0.658,29,31,29,32,1,2,6,6,NA,4,1.03,0.6,0.6,39.9
"9","FF",2024-07-28,94.4,-2.06,5.11,"Zuber, Tyler",596103,676604,"","swinging_strike",NA,NA,NA,NA,2,"Austin Slater walks.","R","R","R","TB","CIN","S",NA,"",3,1,2024,-0.72,1.27,-0.18,2.98,NA,NA,NA,2,7,"Top",NA,NA,NA,NA,NA,NA,6.4993655257783,-137.244887498189,-2.58307821128288,-10.6869942833389,35.6980694415778,-15.8694806305519,3.44,1.65,NA,NA,NA,93.6,2303,6.3,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.24,NA,NA,NA,NA,NA,NA,NA,48,5,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",225,0,-0.089,75.3,6.1,NA,0.089,NA,-1,1,0.342,0.658,29,31,29,32,1,2,6,6,NA,4,1.33,0.72,0.72,39.7
"10","FF",2024-07-28,94,-2.05,5.13,"Zuber, Tyler",596103,676604,"","called_strike",NA,NA,NA,NA,6,"Austin Slater walks.","R","R","R","TB","CIN","S",NA,"",3,0,2024,-0.69,1.38,0.79,2.46,NA,NA,NA,2,7,"Top",NA,NA,NA,NA,NA,NA,8.89133497315191,-136.500497185913,-4.15668463473343,-10.7856462567629,35.6562759387088,-14.2752046294213,3.36,1.52,NA,NA,NA,93.2,2312,6.4,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.15,NA,NA,NA,NA,NA,NA,NA,48,4,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",218,0,-0.058,NA,NA,NA,0.058,NA,-1,1,0.342,0.658,29,31,29,32,1,2,6,6,NA,4,1.25,0.69,0.69,32.6
"11","FF",2024-07-28,94.9,-2.11,5.04,"Zuber, Tyler",596103,676604,"","ball",NA,NA,NA,NA,14,"Austin Slater walks.","R","R","R","TB","CIN","B",NA,"",2,0,2024,-0.7,1.27,1.02,1.52,NA,NA,NA,2,7,"Top",NA,NA,NA,NA,NA,NA,9.73534545166614,-137.584637884277,-6.25523858988751,-11.2996192357493,35.2676421088864,-14.8177552263046,3.32,1.6,NA,NA,NA,94,2337,6.3,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.18,NA,NA,NA,NA,NA,NA,NA,48,3,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",225,0,0.109,NA,NA,NA,-0.109,NA,-1,1,0.342,0.658,29,31,29,32,1,2,6,6,NA,4,1.31,0.7,0.7,30.9
"12","FC",2024-07-28,88.1,-2.03,5.26,"Zuber, Tyler",596103,676604,"","ball",NA,NA,NA,NA,14,"Austin Slater walks.","R","R","R","TB","CIN","B",NA,"",1,0,2024,0.58,0.19,0.76,1.16,NA,NA,NA,2,7,"Top",NA,NA,NA,NA,NA,NA,5.5615356411236,-128.114178913425,-4.15337001652862,5.06996665960739,29.9255922493329,-29.4110131094434,3.25,1.48,NA,NA,NA,87.5,2724,6.3,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.25,NA,NA,NA,NA,NA,NA,NA,48,2,"Cutter",0,1,1,0,1,0,1,0,"Standard","Standard",112,0,0.068,NA,NA,NA,-0.068,NA,-1,1,0.342,0.658,29,31,29,32,1,2,6,6,NA,4,2.79,-0.58,-0.58,36.7
"13","FF",2024-07-28,95.3,-2.05,5.19,"Zuber, Tyler",596103,676604,"","ball",NA,NA,NA,NA,14,"Austin Slater walks.","R","R","R","TB","CIN","B",NA,"",0,0,2024,-0.67,1.31,1.06,1.83,NA,NA,NA,2,7,"Top",NA,NA,NA,NA,NA,NA,9.63094494749648,-138.294311079532,-5.9914805754119,-10.9749943955096,35.8655688981875,-14.2562481552507,3.29,1.56,NA,NA,NA,94.3,2471,6.2,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.3,NA,NA,NA,NA,NA,NA,NA,48,1,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",220,0,0.04,NA,NA,NA,-0.04,NA,-1,1,0.342,0.658,29,31,29,32,1,2,6,6,NA,4,1.25,0.67,0.67,35.7
"14","ST",2024-07-28,84.8,-2.04,5.12,"Zuber, Tyler",669289,676604,"field_out","hit_into_play",NA,NA,NA,NA,6,"Santiago Espinal flies out to center fielder Jonny DeLuca.","R","R","R","TB","CIN","X",8,"fly_ball",1,2,2024,1.12,0.44,0.36,2.25,NA,NA,NA,1,7,"Top",98.32,82.63,NA,NA,NA,NA,3.32634070877396,-123.368647808931,-1.11064024622381,10.5145821597687,29.3710003299343,-27.7769092521556,3.34,1.56,297,86.8,41,83.9,2759,6.1,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.37,0.003,0.003,0,1,0,0,3,47,4,"Sweeper",0,1,1,0,1,0,1,0,"Standard","Standard",85,0.018,-0.182,65.5,7.5,0.003,0.182,88,-1,1,0.324,0.676,29,29,29,30,1,2,6,8,NA,1,2.79,-1.12,-1.12,33
"15","ST",2024-07-28,84.2,-2.03,5.1,"Zuber, Tyler",669289,676604,"","ball",NA,NA,NA,NA,14,"Santiago Espinal flies out to center fielder Jonny DeLuca.","R","R","R","TB","CIN","B",NA,"",0,2,2024,1.13,0.33,1.14,1.77,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,5.07493872394044,-122.512223408048,-1.90080546222475,10.0377845884192,28.4457032366295,-28.6639188504845,3.43,1.6,NA,NA,NA,83.3,2656,6.1,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.41,NA,NA,NA,NA,NA,NA,NA,47,3,"Sweeper",0,1,1,0,1,0,1,0,"Standard","Standard",82,0,0.02,NA,NA,NA,-0.02,NA,-1,1,0.324,0.676,29,29,29,30,1,2,6,8,NA,1,2.93,-1.13,-1.13,29.7
"16","ST",2024-07-28,85.4,-2.23,5.03,"Zuber, Tyler",669289,676604,"","called_strike",NA,NA,NA,NA,9,"Santiago Espinal flies out to center fielder Jonny DeLuca.","R","R","R","TB","CIN","S",NA,"",0,1,2024,1.01,0.5,0.45,1.7,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,4.25540803855125,-124.219216990873,-2.4740267965973,9.35702090338318,28.2623070505028,-26.7380596486766,3.35,1.53,NA,NA,NA,84.9,2726,6.3,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.22,NA,NA,NA,NA,NA,NA,NA,47,2,"Sweeper",0,1,1,0,1,0,1,0,"Standard","Standard",88,0,-0.057,NA,NA,NA,0.057,NA,-1,1,0.324,0.676,29,29,29,30,1,2,6,8,NA,1,2.66,-1.01,-1.01,34.1
"17","FF",2024-07-28,94.2,-2.1,5.24,"Zuber, Tyler",669289,676604,"","called_strike",NA,NA,NA,NA,6,"Santiago Espinal flies out to center fielder Jonny DeLuca.","R","R","R","TB","CIN","S",NA,"",0,0,2024,-0.56,1.36,0.83,2.52,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,8.84018965158702,-136.803055060101,-4.33310700246055,-9.13957880287916,32.1979357349022,-14.3473498264844,3.36,1.53,NA,NA,NA,93.8,2366,6.3,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.19,NA,NA,NA,NA,NA,NA,NA,47,1,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",213,0,-0.037,NA,NA,NA,0.037,NA,-1,1,0.324,0.676,29,29,29,30,1,2,6,8,NA,1,1.23,0.56,0.56,41.5
"18","FF",2024-07-28,93.6,-2.16,5.14,"Zuber, Tyler",670770,676604,"field_out","hit_into_play",NA,NA,NA,NA,12,"TJ Friedl pops out to second baseman Brandon Lowe in foul territory.","R","L","R","TB","CIN","X",4,"popup",1,0,2024,-0.69,1.37,0.25,3.34,NA,NA,NA,0,7,"Top",190.32,165.47,NA,NA,NA,NA,7.72801078841384,-136.000548398207,-1.83554681188314,-10.4871764093555,34.860236986817,-15.1354346323143,3.09,1.46,184,92.2,61,92.8,2361,6.3,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.2,0.014,0.02,0,1,0,0,3,46,2,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",221,0.024,-0.292,67.4,6.5,0.029,0.292,92.2,-1,1,0.3,0.7,29,28,29,29,1,0,6,1,NA,1,1.27,0.69,-0.69,33
"19","FC",2024-07-28,88.2,-2.21,5.25,"Zuber, Tyler",670770,676604,"","ball",NA,NA,NA,NA,14,"TJ Friedl pops out to second baseman Brandon Lowe in foul territory.","R","L","R","TB","CIN","B",NA,"",0,0,2024,0.55,0.77,0.08,1.24,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,NA,NA,4.42141707831358,-128.311167094767,-5.24638592312748,5.18546528781725,27.118113677658,-22.7797490872607,3.17,1.6,NA,NA,NA,87.9,2601,6.1,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.36,NA,NA,NA,NA,NA,NA,NA,46,1,"Cutter",0,1,1,0,1,0,1,0,"Standard","Standard",160,0,0.038,NA,NA,NA,-0.038,NA,-1,1,0.3,0.7,29,28,29,29,1,0,6,1,NA,1,2.17,-0.55,0.55,38.5
"20","FC",2024-07-28,91,-2.19,5.31,"Zuber, Tyler",600869,676604,"field_out","hit_into_play",NA,NA,NA,NA,5,"Jeimer Candelario pops out to third baseman Isaac Paredes in foul territory.","R","L","R","TB","CIN","X",5,"popup",3,2,2024,0.32,0.82,-0.14,2.26,NA,668715,NA,2,6,"Top",93.46,186.05,NA,NA,NA,NA,4.43558767893269,-132.530179032047,-3.50420669067335,2.82518782097715,28.9175610063657,-22.0106443967284,3.46,1.63,110,77,75,90.8,2651,6.2,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.31,0.003,0.003,0,1,0,0,3,40,7,"Cutter",0,1,1,0,1,0,1,0,"Standard","Standard",181,0.039,-0.298,68,7.8,0.004,0.298,88,-1,1,0.348,0.652,29,30,29,31,1,2,6,1,NA,1,1.94,-0.32,0.32,37.6
"21","FF",2024-07-28,95.7,-2.18,5.31,"Zuber, Tyler",600869,676604,"","ball",NA,NA,NA,NA,11,"Jeimer Candelario pops out to third baseman Isaac Paredes in foul territory.","R","L","R","TB","CIN","B",NA,"",2,2,2024,-0.92,1.37,-1.79,4.38,NA,668715,NA,2,6,"Top",NA,NA,NA,NA,NA,NA,3.11063897847449,-139.23935109524,0.135494468654868,-12.6144197728998,34.0898687628149,-14.7083897897014,3.35,1.63,NA,NA,NA,95,2420,6.1,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.4,NA,NA,NA,NA,NA,NA,NA,40,6,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",218,0,0.049,NA,NA,NA,-0.049,NA,-1,1,0.348,0.652,29,30,29,31,1,2,6,1,NA,1,1.14,0.92,-0.92,34.6
"22","FF",2024-07-28,94.7,-2.11,5.13,"Zuber, Tyler",600869,676604,"","ball",NA,NA,NA,NA,14,"Jeimer Candelario pops out to third baseman Isaac Paredes in foul territory.","R","L","R","TB","CIN","B",NA,"",1,2,2024,-0.85,1.44,1.56,2.4,NA,668715,NA,2,6,"Top",NA,NA,NA,NA,NA,NA,11.4499534643179,-137.383521369547,-4.6048101826026,-13.3977378092938,32.0648944746515,-13.1274790093413,3.34,1.65,NA,NA,NA,94.1,2467,6.2,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.27,NA,NA,NA,NA,NA,NA,NA,40,5,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",223,0,0.037,NA,NA,NA,-0.037,NA,-1,1,0.348,0.652,29,30,29,31,1,2,6,1,NA,1,1.13,0.85,-0.85,34
"23","FC",2024-07-28,90.7,-1.95,5.37,"Zuber, Tyler",600869,676604,"","foul",NA,NA,NA,NA,9,"Jeimer Candelario pops out to third baseman Isaac Paredes in foul territory.","R","L","R","TB","CIN","S",NA,"",1,2,2024,0.35,0.45,0.6,1.94,NA,668715,NA,2,6,"Top",NA,NA,NA,NA,NA,NA,5.58550099758051,-131.974781685431,-3.59992310709876,2.93349959992723,27.777370210413,-26.3801745707031,3.46,1.63,NA,NA,NA,90.2,2617,6,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.53,NA,NA,NA,NA,NA,NA,NA,40,4,"Cutter",0,1,1,0,1,0,1,0,"Standard","Standard",173,0,0,54,6.5,NA,0,NA,-1,1,0.348,0.652,29,30,29,31,1,2,6,1,NA,1,2.32,-0.35,0.35,40.5
"24","FC",2024-07-28,88.7,-2.28,5.01,"Zuber, Tyler",600869,676604,"","ball",NA,NA,NA,NA,14,"Jeimer Candelario pops out to third baseman Isaac Paredes in foul territory.","R","L","R","TB","CIN","B",NA,"",0,2,2024,0.28,0.88,2.02,1.08,NA,NA,668715,2,6,"Top",NA,NA,NA,NA,NA,NA,9.85573271100218,-128.700645188521,-5.27059483230067,0.848048591267906,29.7660424293709,-21.4898709755891,3.4,1.61,NA,NA,NA,87.8,2643,6.1,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.38,NA,NA,NA,NA,NA,NA,NA,40,3,"Cutter",0,1,1,0,1,0,1,0,"Standard","Standard",120,-0.013,0.027,NA,NA,NA,-0.027,NA,-1,1,0.361,0.639,29,30,29,31,1,2,6,1,NA,1,2.07,-0.28,0.28,28.7
"25","FC",2024-07-28,90,-2.16,5.37,"Zuber, Tyler",600869,676604,"","called_strike",NA,NA,NA,NA,8,"Jeimer Candelario pops out to third baseman Isaac Paredes in foul territory.","R","L","R","TB","CIN","S",NA,"",0,1,2024,0.48,0.56,0.18,2.18,NA,NA,668715,2,6,"Top",NA,NA,NA,NA,NA,NA,4.77541960823724,-130.993537716664,-3.13972019078057,4.60114674020872,26.9161857409065,-25.2788238342238,3.42,1.66,NA,NA,NA,89.9,2514,6.2,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.33,NA,NA,NA,NA,NA,NA,NA,40,2,"Cutter",0,1,1,0,1,0,1,0,"Standard","Standard",167,0,-0.054,NA,NA,NA,0.054,NA,-1,1,0.361,0.639,29,30,29,31,1,2,6,1,NA,1,2.25,-0.48,0.48,37.8
"26","FF",2024-07-28,95.1,-2.28,5.22,"Zuber, Tyler",600869,676604,"","foul_tip",NA,NA,NA,NA,5,"Jeimer Candelario pops out to third baseman Isaac Paredes in foul territory.","R","L","R","TB","CIN","S",NA,"",0,0,2024,-0.97,1.31,0.09,2.39,NA,NA,668715,2,6,"Top",NA,NA,NA,NA,NA,NA,8.35355803087657,-138.174873323553,-4.6367241902686,-14.3279773213503,32.8852187906034,-14.5351838982262,3.46,1.63,NA,NA,NA,94.5,2372,6.2,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.3,NA,NA,NA,NA,NA,NA,NA,40,1,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",219,0,-0.047,71.5,7.3,NA,0.047,NA,-1,1,0.361,0.639,29,30,29,31,1,2,6,1,NA,1,1.23,0.97,-0.97,36.8
"27","ST",2024-07-28,84.6,-2.22,5.05,"Zuber, Tyler",668715,676604,"fielders_choice_out","hit_into_play",NA,NA,NA,NA,14,"Spencer Steer reaches on a fielder's choice out, third baseman Isaac Paredes to catcher Ben Rortvedt.   Elly De La Cruz out at home.","R","R","R","TB","CIN","X",5,"ground_ball",2,2,2024,1.22,0.17,0.24,1.38,682829,NA,NA,1,6,"Top",104.96,163.05,NA,NA,NA,NA,3.31679099982082,-123.004585615854,-2.41631560685614,11.4148734787104,28.6535542123152,-30.1564267590569,3.34,1.57,39,74.7,2,83.9,2707,6.3,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.25,0.12,0.123,0,1,0,0,2,39,6,"Sweeper",0,1,1,0,1,0,1,0,"Strategic","Standard",82,0.089,-0.148,71,8,0.12,0.148,88,-1,1,0.272,0.728,29,26,29,27,1,2,6,1,NA,1,3.07,-1.22,-1.22,29.4
"28","FC",2024-07-28,89.1,-1.96,5.28,"Zuber, Tyler",668715,676604,"","ball",NA,NA,NA,NA,14,"Spencer Steer reaches on a fielder's choice out, third baseman Isaac Paredes to catcher Ben Rortvedt.   Elly De La Cruz out at home.","R","R","R","TB","CIN","B",NA,"",1,2,2024,0.7,-0.06,0.13,0.11,682829,NA,NA,1,6,"Top",NA,NA,NA,NA,NA,NA,3.65587008273865,-129.557302292523,-6.46457592283713,7.04348336523661,28.9892352742152,-31.6440536658382,3.28,1.46,NA,NA,NA,88.4,2716,6.1,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.42,NA,NA,NA,NA,NA,NA,NA,39,5,"Cutter",0,1,1,0,1,0,1,0,"Infield shade","Standard",131,0,0.026,NA,NA,NA,-0.026,NA,-1,1,0.272,0.728,29,26,29,27,1,2,6,1,NA,1,2.95,-0.7,-0.7,40.3
"29","ST",2024-07-28,86.7,-2.18,5.13,"Zuber, Tyler",668715,676604,"","foul",NA,NA,NA,NA,12,"Spencer Steer reaches on a fielder's choice out, third baseman Isaac Paredes to catcher Ben Rortvedt.   Elly De La Cruz out at home.","R","R","R","TB","CIN","S",NA,"",1,2,2024,0.82,0.81,1.22,2.5,682829,NA,NA,1,6,"Top",NA,NA,NA,NA,NA,NA,6.43420694994011,-126.152620405929,-1.71880474766788,7.39891887148688,26.5095839987826,-23.3753191994937,3.34,1.57,170,72.6,60,86.4,2838,6.2,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.34,NA,NA,NA,NA,NA,NA,NA,39,4,"Sweeper",0,1,1,0,1,0,1,0,"Infield shade","Standard",83,0,0,67.3,7,NA,0,88,-1,1,0.272,0.728,29,26,29,27,1,2,6,1,NA,1,2.23,-0.82,-0.82,32.3
"30","FF",2024-07-28,95.2,-1.94,5.32,"Zuber, Tyler",668715,676604,"","ball",NA,NA,NA,NA,14,"Spencer Steer reaches on a fielder's choice out, third baseman Isaac Paredes to catcher Ben Rortvedt.   Elly De La Cruz out at home.","R","R","R","TB","CIN","B",NA,"",0,2,2024,-0.87,1.36,1.66,1.81,NA,682829,NA,1,6,"Top",NA,NA,NA,NA,NA,NA,11.3325686946849,-138.073847766279,-6.5557737106878,-13.6715126627542,31.4261029476304,-13.4461468326897,3.32,1.6,NA,NA,NA,94.6,2337,6.2,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.32,NA,NA,NA,NA,NA,NA,NA,39,3,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",221,-0.039,0.024,NA,NA,NA,-0.024,NA,-1,1,0.311,0.689,29,26,29,27,1,2,6,1,NA,1,1.18,0.87,0.87,37.5
"31","ST",2024-07-28,84.6,-2.26,5.12,"Zuber, Tyler",668715,676604,"","foul",NA,NA,NA,NA,2,"Spencer Steer reaches on a fielder's choice out, third baseman Isaac Paredes to catcher Ben Rortvedt.   Elly De La Cruz out at home.","R","R","R","TB","CIN","S",NA,"",0,1,2024,0.93,0.81,0.06,2.86,NA,682829,NA,1,6,"Top",NA,NA,NA,NA,NA,NA,3.52565694935851,-123.044180231699,-0.396367367747566,8.51242916602209,29.2905110294369,-24.2654661284157,3.34,1.57,174,68.3,23,83.7,2722,6.2,745063,666163,650490,664040,670623,670764,680700,676356,666139,54.33,NA,NA,NA,NA,NA,NA,NA,39,2,"Sweeper",0,1,1,0,1,0,1,0,"Standard","Standard",84,0,-0.065,72.1,7.6,NA,0.065,88,-1,1,0.311,0.689,29,26,29,27,1,2,6,1,NA,1,2.43,-0.93,-0.93,33
